New Releases For 1/2/2013

Every week, PREVIEWSworld announces which comics, graphic novels, toys and other pop-culture merchandise will arrive at your local comic shop. The products will be on sale in comic shops on the indicated date. This list is tentative and subject to change. Please check with your retailer for availability.

Digital Comics: Digital new releases available from your local comic book shop are marked below. [DIG] = Digital version available. [DIG/P+] = Print-Plus digital/print combo pack available. Click here for a complete list of this week's Digital New Releases. For more information, go to www.digitalcomicsreader.com.

 
PREVIEWS PUBLICATIONS

NOV120004 	PREVIEWS #292 JAN 2013 CUSTOMER ORDER FORM 	PI
JUL121251 	SHINING HEARTS COLL VISUAL MATERIALS SC 	$39.99
SEP122057 	WARHAMMER NEFERATA MMPB 	$8.99

MERCHANDISE

SEP121700 	ALICE CHERRY BLOSSOM 2.5IN QEE 	PI
NOV122037 	ANDROID NETRUNNER LCG WHAT LIES AHEAD DATA PACK 	$14.95
MAR121683 	ANIMATED LADIES SPACE ACE KIMBERLY STATUE 	$199.99
NOV122026 	ARTEMIS PLAYING CARD MAT 	PI
NOV121769 	AW GHOSTBUSTERS HAUNTED HWY SLOT CAR SET 	PI
NOV121945 	BATMAN CHARACTER APRON 	$24.99
NOV121938 	BIG BANG THEORY 4-PACK PINT GLASS SET 	$29.99
OCT121866 	BIG BANG THEORY BAZINGA APRON 	$24.99
AUG121699 	BIG BANG THEORY BAZINGA LOGO BLK T/S LG 	$19.99
AUG121698 	BIG BANG THEORY BAZINGA LOGO BLK T/S MED 	$19.99
AUG121700 	BIG BANG THEORY BAZINGA LOGO BLK T/S XL 	$19.99
AUG121701 	BIG BANG THEORY BAZINGA LOGO BLK T/S XXL 	$22.99
OCT121867 	BIG BANG THEORY BAZINGA MUG 	$7.99
AUG121679 	BIG BANG THEORY SHELDON FOR PRESIDENT NAVY T/S LG 	$19.99
AUG121680 	BIG BANG THEORY SHELDON FOR PRESIDENT NAVY T/S XL 	$19.99
AUG121681 	BIG BANG THEORY SHELDON FOR PRESIDENT NAVY T/S XXL 	$22.99
OCT121868 	BIG BANG THEORY SOFT KITTY MUG 	$7.99
NOV122038 	BLACK CRUSADE TOME OF BLOOD 	$39.95
NOV122085 	BLEACH UNCUT DVD BOX SET VOL 15 	$44.82
AUG121836 	CREATE YOUR OWN COMIC BOOK HERO AF KIT 	PI
AUG128350 	DC HEROCLIX DARK KNIGHT RISES TAB APP PACK 	PI
AUG128351 	DC HEROCLIX DC SUPERHEROES TAB APP PACK 	PI
OCT121978 	DISNEY TRADITIONS BEAUTY & THE BEAST 	$85.00
OCT121977 	DISNEY TRADITIONS FANTASIA SYMPHONY 	$95.00
AUG121916 	DOCTOR WHO CHAR BUILDING MINI FIG SER 03 	PI
OCT121894 	DOCTOR WHO DALEK DOTS MENS SOCKS 	$12.00
OCT121893 	DOCTOR WHO DALEK STRIPE LADIES SOCKS 	$10.00
OCT121892 	DOCTOR WHO DALEK STRIPE LADIES SOCKS 	$10.00
OCT121895 	DOCTOR WHO FLYING TARDIS MENS SOCKS 	$12.00
OCT121896 	DOCTOR WHO LOW CUT SOCKS 3PK SET 1 	$16.00
OCT121897 	DOCTOR WHO LOW CUT SOCKS 3PK SET 2 	$16.00
OCT121891 	DOCTOR WHO TARDIS & DALEK AOP CREW SOCKS 2PK 	$16.00
OCT121890 	DOCTOR WHO TARDIS & DALEK CREW SOCKS 2PK 	$16.00
AUG121716 	DOCTOR WHO TIME LORD HEATHER GREY T/S LG 	$18.99
AUG121715 	DOCTOR WHO TIME LORD HEATHER GREY T/S MED 	$18.99
AUG121714 	DOCTOR WHO TIME LORD HEATHER GREY T/S SM 	$18.99
AUG121717 	DOCTOR WHO TIME LORD HEATHER GREY T/S XL 	$18.99
SEP121746 	E T HAND W/LIGHTED LED FINGER 	$19.99
SEP121815 	EVANGELION 2.0 SHINJI IKARI RAH SCHOOL UNI VER 	$199.99
NOV122027 	FARAMIR AT OSGILIATH PLAYING CARD MAT 	PI
MAY121669 	FEMME FATALES ALICE MADNESS RETURNS PVC STATUE 	$45.00
AUG121571 	FIN FANG FOOM PX GREEN T/S LG 	$17.99
AUG121570 	FIN FANG FOOM PX GREEN T/S MED 	$17.99
AUG121572 	FIN FANG FOOM PX GREEN T/S XL 	$17.99
AUG121573 	FIN FANG FOOM PX GREEN T/S XXL 	$17.99
AUG121856 	FIREFLY LITTLE DAMN HEROES INARA SERRA MAQUETTE 	$39.95
AUG121848 	FORGOTTEN PRISONER OF CASTLEMARE MODEL KIT 	$34.99
NOV122076 	FUTURAMA BD VOL 07 	$39.99
AUG122206 	GEARS OF WAR 3 OST CD 	$13.98
NOV121794 	GRAND JESTER CHESHIRE CAT MINI-BUST 	$65.00
NOV121795 	GRAND JESTER JIMINY CRICKET MINI-BUST 	$65.00
NOV121947 	GREEN LANTERN CHARACTER APRON 	$24.99
NOV122116 	HALO 4 FORWARD UNTO DAWN BD 	$28.99
NOV122117 	HALO 4 FORWARD UNTO DAWN DVD 	$22.99
AUG121790 	HAPPY TREE FRIENDS BUDDHIST MONKEY TREXI VINYL FIG 	$9.99
AUG121791 	HAPPY TREE FRIENDS FLAKY TREXI VINYL FIG 	$9.99
AUG121792 	HAPPY TREE FRIENDS FLIPPY TREXI VINYL FIG 	$9.99
AUG121793 	HAPPY TREE FRIENDS GIGGLES TREXI VINYL FIG 	$9.99
AUG121794 	HAPPY TREE FRIENDS NUTTY TREXI VINYL FIG 	$9.99
AUG121795 	HAPPY TREE FRIENDS TOOTHY TREXI VINYL FIG 	$9.99
NOV122041 	HOBBIT CARD GAME 	$9.95
NOV122115 	I HEART MONSTER MOVIES DVD 	$24.95
NOV121859 	JUDGE DREDD HELMET 1:1 SCALE REPLICA 	PI
AUG121884 	JUSTICE LEAGUE X KOREJANAI MINI FIG 	PI
SEP122184 	LOOPER BD 	$40.99
SEP122185 	LOOPER DVD 	$30.99
NOV121746 	LUNARTIK LOOSE TEA BIY MINI FIGURE 	$10.00
JUL122005 	MAKE YOUR OWN MONSTER MOVIE KIT 	$8.99
JUL122006 	MAKE YOUR OWN SCI-FI MOVIE KIT 	$8.99
JUL122004 	MAKE YOUR OWN ZOMBIE MOVIE KIT 	$8.99
NOV122118 	MARK OF THE DEVIL DVD 	$16.95
AUG121764 	MARVEL CAPT AMERICA SHIELD BOTTLE OPENER 	$18.00
NOV121984 	MARVEL HEROES CERAMIC AND TRAVEL MUG COMBO SET 	$9.99
JUL121724 	MARVEL SELECT BARBARIAN HULK AF 	$21.99
NOV121806 	MONSTER SCENES FERAL CAT MODEL KIT 	$16.98
NOV121805 	MONSTER SCENES SABER TOOTH RABBIT MODEL KIT 	$16.98
NOV121807 	MONSTER SCENES SKELETON MODEL KIT 	$16.98
SEP121710 	MUTAFUKAZ 2.5IN QEE 	PI
OCT121628 	MY LITTLE PONY MINIS 201301 	$11.99
NOV122106 	NAUGHTY GOLD DIGGERS DOUBLE FEATURE DVD (MR) 	$16.95
NOV122126 	ON THE ROAD WITH HARLAN ELLISON CD VOL 05 	$35.99
NOV122119 	OSOMBIE BD 	$19.98
NOV122120 	OSOMBIE DVD 	$19.98
JUL121990 	PAC MAN HEAT CHANGE MUG 	$9.99
JUL122115 	PORTAL REMEMBER TIN WALL SIGN 	$12.99
JUL122117 	PORTAL SAFETY FIRST TIN WALL SIGN 	$12.99
JUL122116 	PORTAL WELCOME TIN WALL SIGN 	$12.99
NOV121978 	SDCC 2012 KINGDOM HEARTS SILVER PLATED RESIN FIG SET 	PI
NOV121979 	SDCC 2012 MARVEL 4 INCH 8PC FIGURINE SET 	PI
NOV122127 	ST TNG BD SEA 02 	$109.99
OCT121961 	STAR TREK TNG USS ENTERPRISE 1701-D KEYCHAIN 	$11.95
NOV122045 	STAR WARS RPG EDGE OF THE EMPIRE BEGINNER GAME 	$29.95
JUN122183 	STAR WARS X-WING MINIS GAME TIE ADVANCED EXP PACK 	$14.95
JUN122184 	STAR WARS X-WING MINIS GAME TIE FIGHTER EXP PACK 	$14.95
JUN122186 	STAR WARS X-WING MINIS GAME Y-WING EXP PACK 	$14.95
NOV121926 	STAY PUFT VANILLA MARSHMALLOWS 	PI
SEP121672 	STREET FIGHTER X TEKKEN SER 2 MINIMATES 	$9.99
OCT121882 	SUPERMAN ICE CUBE TRAY 	$11.99
JUL121993 	TETRIS ALARM CLOCK 	$39.99
JUL121992 	TETRIS CONSTRUCTABLE LIGHT 	$49.99
NOV121973 	THE HOBBIT MOVIE 4-PACK PINT GLASS SET 	$29.99
NOV121977 	THE HOBBIT MOVIE CAST ACRYLIC TUMBLER W/STRAW 	$14.99
OCT121834 	TINTIN TINTIN RAILWAY BOX COVER 	$26.00
AUG121812 	TOKIDOKI DINER WITH DINER BABIES NOTEPAD 	$3.99
AUG121809 	TOKIDOKI DISCOTECA PINK A5 NOTEBOOK 	$5.99
AUG121811 	TOKIDOKI HEAVEN VS HELL A6 NOTEBOOK 	$2.99
AUG121810 	TOKIDOKI HELL ROCK GRAY A5 NOTEBOOK 	$5.99
AUG121808 	TOKIDOKI MOOFIA SOCCER A5 NOTEBOOK 	$3.99
SEP122005 	TOON TUMBLERS DOCTOR STRANGE CLEAR PINT GLASS 	$10.99
SEP122000 	TOON TUMBLERS THOR CLEAR PINT GLASS 	$10.99
SEP121939 	TOON TUMBLERS WONDER WOMAN CLEAR PINT GLASS 	$10.99
NOV121770 	TWILIGHT BELLA 1963 CHEVY TRUCK 1/18 DIE-CAST 	PI
NOV121771 	TWILIGHT CROWN VICTORY POLICE CAR 1/18 DIE-CAST 	PI
JUL121723 	WALKING DEAD MINIMATES SER 2 	$8.99
NOV121797 	WDCC GRUMPY CANTAKEROUS CURMUDGEON STATUE 	$125.00
NOV121796 	WDCC SNOW WHITE SWEET TEMPTATION STATUE 	$125.00
AUG121995 	ZOMBIE EVOLUTION BLK GID T/S LG 	$17.99
AUG121994 	ZOMBIE EVOLUTION BLK GID T/S MED 	$17.99
AUG121996 	ZOMBIE EVOLUTION BLK GID T/S XL 	$17.99
AUG121998 	ZOMBIE EXTERMINATING SERVICE WORK SHIRT LG 	$39.99
AUG121999 	ZOMBIE EXTERMINATING SERVICE WORK SHIRT XL 	$39.99
